name,summary,prep_time,cook_time,total_time,servings,process,ingredients,url
Japanese Ginger Pork,This recipe uses thinly sliced pork for a quick Japanese-style sauté. It is excellent with rice and steamed veggies on the side. You can also double the recipe and use whole pork chops or chicken breasts for grilling.,10 mins,10 mins,1 hr 20 mins,4,"Mix together soy sauce, sake, mirin, and ginger in a large bowl until combined. Add sliced pork; stir to coat. Cover the bowl and marinate for about 1 hour. | Heat oil in a large skillet or wok over high heat. Sauté pork in hot oil until browned and cooked through; discard marinade. An instant-read thermometer inserted into pork should read at least 145 degrees F (63 degrees C).",2 tablespoons soy sauce | 2 tablespoons sake | 2 tablespoons mirin | 1 tablespoon grated fresh ginger root | 1 pound thinly sliced pork loin | 3 tablespoons vegetable oil,https://www.allrecipes.com/recipe/87392/japanese-ginger-pork/
Spicy Tuna Rolls,"Even if you're new to sushi making, this recipe for spicy tuna rolls is easy to make at home.",30 mins,N/A,30 mins,4,"Cut off the bottom quarter of each nori sheet; reserve for another use. | Combine chopped tuna, mayonnaise, green onions, and hot sauce in a bowl. | Center 1 sheet of nori on a bamboo sushi mat. Wet your hands. Spread a thin layer of rice on the nori using your hands; press into a thin layer, leaving a 1/2-inch space at the bottom edge. Sprinkle with sesame seeds. Arrange 1/4 of the tuna mixture in a line across the rice, about 1/3 of the way down from the top of the sheet. | Wet the uncovered edge of the nori. Lift the top end of the mat and firmly roll it over the ingredients. Roll it forward to make a complete roll. Repeat with remaining ingredients. | Slice the rolls into 3/4-inch pieces using a wet knife. Serve immediately or refrigerate until serving.","4 sheets nori (dry seaweed) | ½ pound sashimi-grade tuna, finely chopped | 4 tablespoons mayonnaise | 2  green onions, chopped | 1 tablespoon hot chile sauce | 2 ½ cups prepared sushi rice | 1 tablespoon sesame seeds",https://www.allrecipes.com/recipe/279434/spicy-tuna-rolls/
Japanese-Style Deep-Fried Shrimp,"These deep-fried shrimp are coated with crispy panko crumbs to make the easiest, tastiest deep-fried shrimp ever!",10 mins,15 mins,25 mins,4,N/A,"1 pound medium shrimp, peeled (tails left on) and deveined | ½ teaspoon salt | ½ teaspoon ground black pepper | ½ teaspoon garlic powder | 1 cup all-purpose flour | 1 teaspoon paprika | 2 large eggs, beaten | 1 cup panko crumbs | 1 quart vegetable oil for frying",https://www.allrecipes.com/recipe/127500/japanese-style-deep-fried-shrimp/
Homemade Sushi,Sushi rolls can be filled with any ingredients you choose. Try smoked salmon instead of imitation crabmeat. Serve with teriyaki sauce and wasabi.,40 mins,25 mins,1 hr 5 mins,8,"Bring water to a boil in a medium pot; stir in rice. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes. | Heat nori in the preheated oven until warm, 1 to 2 minutes.","1 ⅓ cups water | ⅔ cup uncooked short-grain white rice | 3 tablespoons rice vinegar | 3 tablespoons white sugar | 1 ½ teaspoons salt | 4 sheets nori seaweed sheets | ½ pound imitation crabmeat, flaked | 1  avocado - peeled, pitted, and sliced | ½  cucumber, peeled, cut into small strips | 2 tablespoons pickled ginger",https://www.allrecipes.com/recipe/24228/sushi-roll/
Miso Braised Pork,Japanese comfort food! The smell will draw you in!,15 mins,3 hrs 30 mins,3 hrs 45 mins,12,"Heat canola oil in a large Dutch oven over medium-high heat until hot. Sear pork slices until well browned on both sides, then remove. Stir in the garlic and ginger, cook until fragrant, about 30 seconds. Add the water, soy sauce, brown sugar, and miso; bring to a simmer, scraping the bottom of the pan to dissolve the caramelized juices. | Place pork into pot, add additional water if needed to cover pork with the sauce. Then, reduce heat to medium-low, cover, and simmer for 3 hours until the pork is tender, and the sauce has thickened.","1 tablespoon canola oil | 5 pounds pork butt (shoulder roast) cut into 2-inch slices | 2 tablespoons minced garlic | 1 teaspoon minced ginger | 2 cups water, more if needed | ⅓ cup soy sauce | ⅓ cup brown sugar | ¾ cup white (shiro) miso",https://www.allrecipes.com/recipe/116066/miso-braised-pork/
Japanese Sweet Omelet,"Tamagoyaki is a delicious, easy, and fun Japanese breakfast! Serve hot with shaved daikon (Japanese radish) and soy sauce.",5 mins,5 mins,10 mins,1,"Mix eggs, water, soy sauce, and sugar in a bowl with a fork until combined. | Heat a skillet over medium heat. Pour egg mixture into skillet and stir with a fork. Cook until omelet begins to set and liquid is no longer visible, 3 to 5 minutes. Fold in half twice.",2  eggs | 1 tablespoon water | 1 teaspoon soy sauce | 1 teaspoon white sugar,https://www.allrecipes.com/recipe/254315/japanese-sweet-omelet/
Miso Salmon,This Japanese-style broiled miso salmon is an easy recipe I came up with at the request of my family. It tastes just like some we've had at Japanese restaurants. Serve with sticky white rice and a light salad.,20 mins,30 mins,50 mins,6,"Preheat the oven to 400 degrees F (200 degrees C). | Fill a large skillet with about 1 inch of water and bring to a boil. Poach fish just until cooked on the outside, about 2 minutes per side. Transfer fillets to a broiler pan. | Stir together miso paste, brown sugar, salad dressing, sake, water, rice vinegar, sesame seeds, and sesame oil in a small bowl. Spread over the tops of the salmon fillets. | Bake in the preheated oven until almost cooked through, about 15 minutes. Switch the oven to broil, and broil until the top is browned and bubbly, about 5 more minutes. Cut fillets into portions to serve.","2 (1 1/2-pound) salmon fillets, skin removed | 1 cup miso paste | ½ cup brown sugar | ½ cup prepared soy-ginger salad dressing | ¼ cup sake | ¼ cup water | 3 tablespoons seasoned rice vinegar | 2 tablespoons sesame seeds | 1 teaspoon sesame oil",https://www.allrecipes.com/recipe/106227/miso-salmon/
Japanese Curry,"Japanese curry is different from Indian or Thai curries. It is more of a brown stew and it can be mild or spicy, depending on your tastes. It can be served over white rice or with udon noodles.
This recipe is very flexible; it can easily be made for more or less people.",30 mins,1 hr 10 mins,1 hr 40 mins,8,"Heat oil in a 6-quart pot over medium-high heat. Add beef and saute until brown, 5 to 7 minutes. Add onions and cook until starting to soften, about 3 minutes. Add ketchup and Worcestershire sauce. Stir to coat. Add cayenne pepper. Pour in water to cover mixture by 1 or 2 inches. Add carrots and bouillon. | Simmer, skimming fat off the surface of the broth as needed, for 30 minutes. Add potatoes. Stir in 1 package of curry roux and let dissolve; add remaining curry as needed to achieve desired thickness. Continue simmering until beef and vegetables are tender, about 30 minutes more.","1 tablespoon vegetable oil, or more as needed | 1 ¾ pounds beef chuck, cut into 2-inch cubes | 3  onions, quartered | 1 tablespoon ketchup | 1 ½ teaspoons Worcestershire sauce | 1 pinch cayenne pepper, or to taste (Optional) | water to cover | 4  carrots, cut into 2-inch pieces | 1 cube chicken bouillon (Optional) | 3 medium potatoes, cut into 3-inch chunks | 1 ½ (3.5 ounce) containers Japanese curry roux, or more to taste",https://www.allrecipes.com/recipe/274077/japanese-curry/
My Fly Stir-Fry,"My mom taught me how to make this very tasty stir-fry. My boyfriend loves it so much I make it at least once a week! You can use virtually any combination of vegetables and meat you like, but the combination of sauces is essential. Serve over steamed rice or noodles.",20 mins,15 mins,35 mins,4,"Slice pork as thinly as possible. Working with partially frozen chops makes this easier. In a medium bowl, mix pork with mirin, rice vinegar, and soy sauce. Cover, and let marinate in refrigerator while you prepare the remaining ingredients. | Slice mushrooms, green pepper, green part of green onions, and set aside. Mince white part of green onions, garlic, and ginger. | Heat wok or large skillet over medium heat, then coat with sesame oil. Saute minced green onion, garlic, and ginger until fragrant. Increase heat to high. Squeeze marinade off pork, and place pork into wok. Reserve marinade. Cook and stir until pork is no longer pink, about 4 minutes. Stir in mushrooms, green pepper, and sliced green onion. Cook, stirring, until vegetables are tender, about 4 minutes. Stir in reserved marinade, and cook about 2 minutes.","4  center cut pork chops, thinly sliced | ¼ cup mirin (Japanese sweet wine) | ¼ cup rice vinegar | ½ cup soy sauce | ½ cup mushrooms, sliced | 1  green bell pepper, sliced | 1 bunch green onions | 1 clove garlic, minced | 1 tablespoon minced fresh ginger root | 1 tablespoon sesame oil",https://www.allrecipes.com/recipe/54040/my-fly-stir-fry/
Japanese Pan Noodles,This is a great recipe to make any time. Lots of flavor. Top with cilantro and bean sprouts.,25 mins,25 mins,50 mins,4,"Bring a large pot of lightly salted water to a boil. Cook udon in boiling water, stirring occasionally, until noodles are tender yet firm to the bite, 10 to 12 minutes. Drain and rinse with cold water. Stir in a few drops of sesame oil. | Heat the remaining sesame oil in a large skillet over medium heat. Cook broccoli until bright green and still crunchy, about 5 minutes. Add green bell pepper and carrots; cook and stir until slightly softened, about 2 minutes. Add zucchini; cook until slightly softened, about 2 minutes more. Add soy sauce, mirin, chili-garlic sauce, and ginger; stir to combine. Mix in the noodles; cook and stir until noodles absorb some of the sauce, 1 to 2 minutes more.","1 (10 ounce) package fresh udon noodles | ½ teaspoon sesame oil, divided, or to taste | 2 cups chopped broccoli | ½  green bell pepper, cut into matchsticks | 2 small carrots, cut into matchsticks, or to taste | ½  zucchini, thinly sliced | 2 tablespoons soy sauce | 2 tablespoons mirin (Japanese sweet wine) | 1 tablespoon chili-garlic sauce | ¾ teaspoon minced ginger",https://www.allrecipes.com/recipe/260850/japanese-pan-noodles/
Crispy Shrimp Tempura,"Crispy, Japanese-style tempura shrimp made with homemade tempura batter. Serve them as an appetizer, main dish, or finger food at your next party.",15 mins,20 mins,35 mins,4,N/A,"2 cups vegetable oil for frying | 1 cup all-purpose flour | 2 tablespoons cornstarch | 1 pinch salt | 1 cup water | 1 large egg yolk | 2 large egg whites, lightly beaten | 1 pound medium shrimp, peeled and deveined, tails left on",https://www.allrecipes.com/recipe/129467/crispy-shrimp-tempura/
Steamed Egg (Chawan Mushi),This recipe is for enjoying the texture of eggs at the most tendermost but easiest level. It has the sweetest aroma I have ever tasted in eggs using the least ingredients.,5 mins,12 mins,17 mins,2,"In a medium bowl, whisk eggs gently while slowly pouring in the chicken stock, sake, and soy sauce. Divide the mushroom and chicken evenly between two small tea cups. Pour the egg mixture into each cup until filled. | Bring about 1 inch of water to a boil in a steamer or saucepan. Reduce heat to a simmer, and place cups into the steamer. Cover, and steam for 12 minutes, or until egg is firm but soft and silky like tofu. Garnish each cup with a sprig of parsley, and serve.","2  eggs | 1 cup cooled chicken or fish stock | 1 dash sake | ½ teaspoon soy sauce | ½ cup chopped cooked chicken breast meat | 1  shiitake mushroom, sliced into strips | 2 sprigs fresh parsley, for garnish",https://www.allrecipes.com/recipe/72231/steamed-egg-chawan-mushi/
Homemade Sushi Rolls,"This recipe will teach you how to make some popular sushi rolls like California rolls, Philadelphia rolls, or spicy tuna rolls at home.",45 mins,15 mins,1 hr 40 mins,24,"Put rice into a large deep bowl. Fill with cold water and rub rice together with hands until water turns milky white. Drain cloudy water, being careful not to pour out rice. Repeat three or four times until you can see rice through 3 inches of water; drain once more. | Transfer rice to a saucepan; add kombu and 3 cups water. Let stand 30 minutes. Cover; bring to a boil over high heat. Reduce heat to low; simmer 10 minutes. Remove from heat and let stand, covered, 5 minutes. | Meanwhile, stir together rice vinegar, sugar, and salt in a small bowl until dissolved. | Remove and discard kombu; stir in vinegar mixture until no lumps remain. Spread rice mixture onto a rimmed 9x13 baking sheet. [Spreading helps cool rice and prevents it from continuing to cook.] Let cool to room temperature. | Lay one sheet of nori on a sushi mat lined with plastic wrap; spread 1 cup of rice over nori with damp fingers, leaving a 1-inch border along one edge. Arrange desired fillings (see below) crosswise just off center of rice. Carefully lift filled edge of nori and roll over filling toward unfilled edge, tucking as you roll. Brush unfilled edge of nori with water; press to seal. Cut each roll into 8 pieces. Repeat with remaining nori, rice, and fillings. To make ahead, chill, covered, up to 4 hours.",1 ⅓ cups sushi rice | 1 (4 inch) piece dashi kombu (dried kelp) | 3 cups water | 2 tablespoons rice wine | 2 tablespoons sugar | ¾ teaspoon salt | 4  nori seaweed sheets | desired fillings (see bottom of recipe),https://www.allrecipes.com/recipe/8536667/homemade-sushi-rolls/
Japanese Broiled Mackerel,"A Japanese marinade sauce gives a lovely taste and texture to broiled mackerel in this Japanese mackerel recipe. Yellowtail, tuna, or salmon are also good in this recipe. Easy and delectable! Serve with a lemon slice or long white radish slice as a garnish.",20 mins,5 mins,25 mins,4,"Rinse fillets; pat dry with paper towels. | Mix together soy sauce, mirin, sugar, and fresh ginger in a medium bowl. Place fillets into marinade and let stand for at least 20 minutes. | Preheat the oven broiler or an outdoor grill for high heat. | Cook fillets in the preheated broiler, basting occasionally, until fish flakes easily with a fork, 5 to 8 minutes.",4  mackerel fillets | ¼ cup soy sauce | ¼ cup mirin (Japanese sweet wine) | 1 tablespoon white sugar | ½ tablespoon grated fresh ginger root,https://www.allrecipes.com/recipe/29497/japanese-broiled-mackerel/
Gyoza (Japanese Potstickers),"Gyoza are the Japanese version of jiaozi, or Chinese potstickers. This version is pan-fried but they work well deep-fried or steamed too.",40 mins,15 mins,55 mins,6,"Prepare the potstickers: Combine ground pork, napa cabbage, green onions, egg, ginger, garlic, soy sauce, Sriracha, and sesame oil in a bowl. | Arrange gyoza wrappers on a flat work surface. Place 1 teaspoon of pork mixture in the middle of each wrapper. Wet edges with your finger or a brush. Fold up sides to form a semicircle; pinch edges to seal. | Heat oil in a heavy skillet over medium-high heat. Add 12 to 15 gyoza to the skillet. Cook until golden brown on the bottom, about 2 minutes. Pour in 1/2 cup water; cover and cook until water is absorbed, 5 to 7 minutes. Transfer gyoza to a plate. Repeat with remaining gyoza. | Make the dipping sauce: Mix soy sauce, rice vinegar, sesame oil, and Sriracha together. Serve dipping side alongside gyoza.","½ pound ground pork | ½ head napa cabbage, shredded | 3  green onions, thinly sliced | 1 large egg | 1 (2 inch) piece fresh ginger, grated | 1 small clove garlic, minced | 1 tablespoon soy sauce | 1 teaspoon Sriracha sauce, or more to taste | ¼ teaspoon sesame oil | 30  gyoza wrappers, or as needed | 1 tablespoon vegetable oil, or as needed | 1 cup water, divided | 2 tablespoons soy sauce | 2 tablespoons seasoned rice vinegar | 1 ½ teaspoons sesame oil | 1 dash Sriracha sauce, or to taste",https://www.allrecipes.com/recipe/257373/gyoza-japanese-potstickers/
